id,word_count,hashtag,user_location_usa_state,sentiment_score,sentiment_label,Speculation,Sensation,conspiracy,hate_speech,Satire
1847022787396845706,29,[],Missouri,0.0,neutral,0,0,0,0,0
1847022775430766606,25,"['#deepstate', '#politics', '#geopolitics', '#governance']",Rhode Island,0.2896,positive,1,1,1,0,0
1847022760385483154,39,"['#election2024', '#freespeechmatters']",Washington,0.874,positive,0,0,0,0,0
1847022758972276993,48,[],,0.0772,positive,1,1,0,0,0
1847022733827162621,43,[],Georgia,0.0613,positive,0,0,0,0,0
1847022723077148794,12,[],Georgia,0.5106,positive,1,1,1,0,0
1847022692534251522,32,"['#operationpassthelgbtqplusbillnow', '#passthelgbtqplusbillnow']",,0.8225,positive,0,0,0,0,0
1847022672435105986,12,['#gold'],New York,-0.0314,neutral,0,0,0,0,0
1847022650884800535,37,[],,0.6369,positive,0,1,0,0,1
1847023010114412994,36,['#rrisd1family'],Texas,-0.4728,negative,1,1,1,0,0
1847022946868449431,48,[],Ohio,0.9493,positive,0,0,0,0,0
1847022831227588904,12,[],,0.0772,positive,0,0,0,0,0
1847023497186627875,14,[],,-0.4404,negative,1,1,0,0,0
1847023423807017334,27,[],Washington,0.0,neutral,0,1,0,0,0
1847023418933498251,9,[],,-0.4404,negative,0,0,0,0,0
1847023348183978154,15,[],,0.0,neutral,0,0,0,0,0
1847023317145747910,13,[],,0.5859,positive,0,0,0,0,0
1847023307389878439,12,[],Virginia,0.2263,positive,0,0,0,0,0
1847023289480143115,31,[],,-0.296,negative,1,1,0,0,0
1847023283805262109,47,[],,-0.6224,negative,1,1,0,0,0
1847023266914763238,5,[],,0.0,neutral,0,0,0,0,0
1847023259696468198,35,[],,-0.3818,negative,0,1,0,0,0
1847023572209877194,21,[],,-0.6597,negative,0,1,0,0,0
1847023566664909166,14,[],Oregon,-0.6249,negative,0,0,0,0,0
1847023532833747032,22,[],,0.0,neutral,0,0,0,0,0
1847025659605914021,20,[],,-0.4019,negative,1,1,1,0,0
1847025657504567374,20,[],,0.0,neutral,0,0,0,0,0
1847025657462809008,24,[],,0.0772,positive,0,1,0,0,0
1847025649879519233,13,[],,0.3612,positive,0,1,0,0,0
1847025635140755829,12,[],,0.3818,positive,0,0,0,0,0
1847025574512152667,36,[],,-0.4767,negative,0,0,0,0,1
1847025568396579306,48,[],,0.3612,positive,1,1,0,0,0
1847025568208113857,13,[],,-0.4767,negative,0,1,0,0,0
1847025554328793322,34,"['#voters', '#britishcolumbia', '#electionday']",,0.0516,positive,0,0,0,0,0
1847025539808477310,11,[],,0.0,neutral,0,0,0,0,0
1847025781396197835,39,[],California,0.0,neutral,0,1,0,0,0
1847025733564354753,15,[],,-0.296,negative,1,1,1,0,0
1847025704409735676,52,[],,0.8463,positive,1,1,0,0,0
1847027221736968453,33,['#gatewaypundit'],Indiana,-0.7845,negative,0,1,0,0,0
1847027151758901451,11,[],,-0.3089,negative,0,0,1,0,0
1847027051334664343,31,[],,0.9042,positive,1,1,0,0,0
1847027044669858036,33,[],,0.8934,positive,1,1,1,1,0
1847027040731779543,19,['#gatewaypundit'],,-0.7845,negative,1,1,0,0,0
1847026978265653700,10,[],,0.0,neutral,0,0,0,0,0
1847026870648238309,28,[],Pennsylvania,0.0,neutral,0,0,0,0,0
1847026848880021837,21,[],,0.3612,positive,1,1,0,0,0
1847026826608013705,46,[],,-0.5106,negative,1,1,1,0,0
1847026788779602410,32,"['#northvan', '#westvan', '#bcpoli']",,0.3612,positive,0,0,0,0,0
1847027275197567376,25,[],,0.0,neutral,1,1,0,0,0
1847027262438232163,14,[],,-0.4939,negative,0,0,0,0,0
1847028304970502333,16,[],,0.4215,positive,0,0,0,0,0
1847028296325726250,34,[],New York,-0.6249,negative,1,1,1,1,0
1847028287509291370,19,['#gatewaypundit'],North Carolina,-0.7845,negative,1,1,0,0,0
1847028277858521544,16,[],Texas,0.4019,positive,1,1,0,0,0
1847028257981358461,47,[],,-0.068,negative,0,1,0,1,0
1847028240864436471,47,[],Pennsylvania,-0.9118,negative,1,1,1,1,0
1847028233860170171,12,[],Pennsylvania,0.0,neutral,1,1,0,0,0
1847028183943860461,14,[],,0.4585,positive,0,0,0,0,0
1847028134706925580,49,[],,-0.8979,negative,0,0,0,0,1
1847028127584997550,14,[],,-0.5994,negative,1,1,0,0,0
1847028431495876612,43,[],California,0.8016,positive,0,0,0,0,0
1847028343847506395,12,[],,0.0,neutral,0,0,0,0,0
1847028689273250149,36,['#gatewaypundit'],,-0.7845,negative,0,1,0,0,0
1847028685808767100,17,[],,0.0,neutral,0,0,0,0,0
1847028657266868392,32,[],,0.4404,positive,1,1,0,0,0
