id,word_count,hashtag,user_location_usa_state,sentiment_score,sentiment_label,Speculation,Sensation,conspiracy,hate_speech,Satire
1890113575819342064,33,[],,0.4956,positive,0,1,0,0,0
1872073291583898053,24,[],,0.5859,positive,0,1,0,1,0
1866905491278102969,35,[],Tennessee,0.3384,positive,0,0,0,0,0
1899807371477557642,20,[],New Jersey,-0.5845,negative,1,1,1,0,0
1899256854334558291,29,[],Pennsylvania,-0.7717,negative,1,1,1,1,0
1889467218716426420,23,[],Texas,0.4404,positive,0,0,0,0,0
1863385396463165578,19,[],,0.6908,positive,1,1,0,0,0
1934698805712105948,33,[],New York,-0.4939,negative,0,0,0,0,0
1893167680183472140,14,[],,-0.4767,negative,1,1,0,0,0
1931676735294112012,14,[],Ohio,0.0,neutral,1,0,0,0,0
1862646999692013847,29,[],,0.4019,positive,0,0,0,0,0
1869705933372395714,30,[],,0.0,neutral,0,0,0,0,0
1915792012718084189,58,['#donaldtrump'],Missouri,-0.8509,negative,1,1,0,0,1
1912709600291512723,36,"['#brand', '#marketing', '#advertising']",,0.1027,positive,0,0,0,0,0
1868823139733721159,43,[],Indiana,0.5423,positive,0,0,0,0,0
1867269082061623314,40,[],,-0.743,negative,1,1,1,0,0
1897448729621176343,16,[],,0.4019,positive,0,0,0,0,0
1863178388619338005,49,[],,0.4404,positive,1,1,1,0,0
1853572972138705019,20,[],Iowa,0.0,neutral,0,0,0,0,0
1873506805428732036,36,[],,0.3612,positive,1,1,1,0,0
1877616676708946335,27,[],California,0.4687,positive,0,1,0,0,1
1899168610129477719,19,[],,-0.2579,negative,1,1,0,0,0
1866982810956845399,45,[],,-0.6369,negative,1,1,1,0,0
1891650241432023306,38,[],,0.6249,positive,0,0,0,0,0
1923222763851968916,49,[],,0.6705,positive,1,1,1,1,0
1847441066376729017,22,[],,0.0,neutral,0,0,0,0,0
1893099372105044315,47,[],,-0.1586,negative,1,1,0,0,0
1893567912796991547,33,[],,0.5267,positive,1,0,0,0,0
1873353577793757671,5,[],,0.0,neutral,0,0,0,0,0
1876428934134514035,38,[],,-0.6859,negative,0,0,0,0,0
1891128813674791083,48,[],Kansas,0.1761,positive,0,0,0,0,0
1916813794724163635,16,[],,0.6808,positive,0,1,0,0,1
