,id,created_at,text,text_clean,word_count,hashtags,entities.mentions,author_id,name,verified,possibly_sensitive,lang,edit_history_tweet_ids,user_location,user_location_USA_state,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,sentiment_vader_raw,sentiment_vader_label,Speculation,Sensationalism,Conspiracy,Hate_Speech,Satire
64699,1885705539977433136,2025-02-01 15:03:30+00:00,@Newsweek He needs to be impeached because he didn't win the 2024 election. Nevada has just discovered an algorithm in the voting system that switched the votes from Kamala Harris to Donald Trump. There's already an investigation into several other states... https://t.co/OmeekN6i1d,needs impeached didnt win 2024 election nevada just discovered algorithm voting switched votes kamala harris donald trump theres investigation states,42.0,[],"[{'start': 0, 'end': 9, 'username': 'Newsweek', 'id': '2884771'}]",22800547.0,Cheshire Squire,False,False,en,['1885705539977433136'],,,0.0,0.0,0.0,0.0,0.0,1.0,-0.4717,negative,1.0,1.0,1.0,0.0,0.0
73389,1902701261557760219,2025-03-20T12:38:25.000Z,"#ELB: “California elections officials rejected 122,000 ballots in 2024 election. Here’s why” https://t.co/x4Oe8VhSw3",elb california elections officials rejected 122000 ballots 2024 election heres,13.0,['#elb'],,47034524.0,Rick Hasen,False,False,en,['1902701261557760219'],"Studio City, California",California,0.0,0.0,0.0,0.0,0.0,660.0,-0.5106,negative,0.0,0.0,0.0,0.0,0.0
9430,1858947418689057079,2024-11-19 18:56:16+00:00,"@Ilegvm They don't have the buying power. 
They're idiots. If they had enough buying power to manipulate the US Economy they would've had the power to win the 2024 Presidential election. 

How did that turn out for them? 
They lost we won. 
Now we do have that power &amp; may need to use it",dont buying power theyre idiots buying power manipulate economy wouldve power win 2024 presidential election did turn lost won power amp need use,54.0,[],"[{'start': 0, 'end': 7, 'username': 'Ilegvm', 'id': '1343893863799402497'}]",1.8302213288859648e+18,EndTyrannyNow,False,False,en,['1858947418689057079'],at large in America,,0.0,0.0,0.0,0.0,0.0,0.0,0.7351,positive,1.0,1.0,0.0,1.0,0.0
8074,1856864981414785396,2024-11-14 01:01:25+00:00,"GLOBAL NEWS: ""Nova Scotia can’t afford not to fix the housing crisis, can’t afford not to fix our access to primary care, can’t afford not to make sure that everyone can pay the bills each month.""

#nspoli #nsndp #nsvotes 

https://t.co/SkeNBsprve",global news nova scotia afford fix housing crisis afford fix access primary care afford make sure pay bills month nspoli nsndp nsvotes,40.0,"['#nspoli', '#nsndp', '#nsvotes']",,8.217501950923325e+17,Aaron,False,False,en,['1856864981414785396'],Nova Scotia,,0.0,0.0,0.0,0.0,0.0,0.0,-0.5043,negative,0.0,0.0,0.0,0.0,0.0
71105,1897264091003260967,2025-03-05 12:33:03+00:00,"@SheetalPronamo After electing Atheist DMK to Power in 2021 State assembly elections..

In 2024 Parliament Election,

We the ppl of Tamilnadu gave :
40/40 to DMK again💪💐 &amp;
0/40 to BJP 😒👎

THAT'S TAMILNADU for you.

Cry !!😰😭 
Cry Loudly you idiotic Sanghis 😂😂 https://t.co/rOPFoyb3yo",electing atheist dmk power 2021 state assembly elections 2024 parliament election ppl tamilnadu gave 4040 dmk amp 040 bjp thats tamilnadu loudly idiotic sanghis,45.0,[],"[{'start': 0, 'end': 15, 'username': 'SheetalPronamo', 'id': '614186125'}]",82046635.0,மனோ🖤❤,False,False,en,['1897264091003260967'],"Coimbatore, India",,0.0,0.0,0.0,0.0,0.0,3.0,-0.8689,negative,0.0,0.0,0.0,1.0,1.0
86295,1903604059354898937,2025-03-23T00:25:49.000Z,"FINALLY!!! Population change from 7/23-7/24 based on US Census Bureau data by 2024 presidential election county results. I’ll be releasing a thread with region breakdowns tomorrow, but here’s some info for now…👇🏻👇🏻🧵🗺️📈 https://t.co/Q9K8UGPQMW",finally population change 723724 based census bureau data 2024 presidential election county results ill releasing thread region breakdowns tomorrow heres info,33.0,[],,1.4872320380674417e+18,Nassau Centrist Mapper,False,False,en,['1903604059354898937'],NY-4,New York,9.0,2.0,31.0,0.0,13.0,2641.0,-0.2263,negative,0.0,0.0,0.0,0.0,0.0
38920,1847620410046562767,2024-10-19 12:46:47+00:00,"@alx Considering buying a house after the election? Then you better vote for Kamala Harris!:

Trump vows to deport millions. Builders say it would drain their crews and drive up home costs...
https://t.co/nwDSNIsiw1 https://t.co/bv77rxSxlv",considering buying house election better vote kamala harris trump vows deport millions builders say drain crews drive home costs,34.0,[],"[{'start': 0, 'end': 4, 'username': 'alx', 'id': '534023'}]",1.6700629222137856e+18,Ramon Johnson,False,False,en,['1847620410046562767'],"San Jose, CA",California,0.0,0.0,0.0,0.0,0.0,0.0,0.4404,positive,0.0,0.0,0.0,0.0,0.0
56990,1872790198872097164,2024-12-27 23:42:32+00:00,@realTrumpNewsX America Democrats plan to not swear Trump in for being an insurrectionist. The J6 was ORCHESTRATED BY DEMS+FBI.2020 ELECTION WAS STOLEN. 2024 DEMS GOT 15 MILL MORE VOTES? IF DEMS PULL THIS STUNT OUR FOREFATHERS DEMAND WE PULL OUT OUR GUNS. FIGHT FOR FREEDOM. https://t.co/ivYVhDeDTr,america democrats plan swear trump insurrectionist j6 orchestrated demsfbi2020 election stolen 2024 dems got 15 votes dems pull stunt forefathers demand pull guns fight freedom,46.0,[],"[{'start': 0, 'end': 15, 'username': 'realTrumpNewsX', 'id': '1810341133911994368'}]",1.495754035411968e+18,Dune Starlight,False,False,en,['1872790198872097164'],,,0.0,0.0,0.0,0.0,0.0,1.0,-0.2387,negative,1.0,1.0,1.0,1.0,0.0
28052,1885563601768911246,2025-02-01 05:39:29+00:00,"Musk has posted a blizzard of false and misleading claims about the election on his social media platform that have generated more than two billion views this year, according to new research analysis from a nonprofit that tracks misinformation. https://t.co/WvnTEi2tHD",musk posted blizzard false misleading claims election social media platform generated billion views year according new research analysis nonprofit tracks misinformation,40.0,[],,3230198245.0,Drogon,False,False,en,['1885563601768911246'],Flying around USA,,0.0,1.0,1.0,0.0,0.0,8.0,-0.6124,negative,0.0,0.0,0.0,0.0,0.0
85300,1899781592547041403,2025-03-12T11:16:42.000Z,"Update: A Notice of Trial of Petition has been lodged with Mullingar Court Office in relation to the Election Civil Bill, which challenges the participation of unqualified voters in the June 2024 local elections. The Court Office is expected to return a fixed trial date within… https://t.co/gcQWy6mk7N https://t.co/SoFiVpwd0B",update notice trial petition lodged mullingar court office relation election civil challenges participation unqualified voters june 2024 local elections court office expected return fixed trial date,48.0,[],,1.7077277742601175e+18,Patrick McGreal,False,False,en,['1899781592547041403'],"Reynella, Westmeath,  Ireland",,16.0,4.0,42.0,2.0,0.0,328.0,0.0772,positive,1.0,1.0,0.0,0.0,0.0
